"","m","r","ratio","n"
"228",8,12,0.666666666666667,13.0814662494256
"229",9,12,0.75,12.2093684994639
"230",10,12,0.833333333333333,11.5116902994945
"231",11,12,0.916666666666667,10.9408626813377
"232",12,12,1,10.4651729995404
"233",13,12,1.08333333333333,10.062666345712
"234",14,12,1.16666666666667,9.71766064243042
"235",15,12,1.25,9.4186556995864
"236",16,12,1.33333333333333,9.15702637459789
"237",17,12,1.41666666666667,8.92617697019626
"238",18,12,1.5,8.72097749961704
"239",19,12,1.58333333333333,8.53737797330931
"240",20,12,1.66666666666667,8.37213839963236
"241",1,13,0.0769230769230769,67.6211178431844
"242",2,13,0.153846153846154,36.2255988445631
"243",3,13,0.230769230769231,25.7604258450226
"244",4,13,0.307692307692308,20.5278393452524
"245",5,13,0.384615384615385,17.3882874453903
"246",6,13,0.461538461538462,15.2952528454822
"247",7,13,0.538461538461538,13.8002281312621
"248",8,13,0.615384615384615,12.6789595955971
"249",9,13,0.692307692307692,11.8068618456354
"250",10,13,0.769230769230769,11.109183645666
"251",11,13,0.846153846153846,10.5383560275093
"252",12,13,0.923076923076923,10.062666345712
"253",13,13,1,9.66015969188349
"254",14,13,1.07692307692308,9.31515398860194
"255",15,13,1.15384615384615,9.01614904575792
"256",16,13,1.23076923076923,8.75451972076941
"257",17,13,1.30769230769231,8.52367031636778
"258",18,13,1.38461538461538,8.31847084578856
"259",19,13,1.46153846153846,8.13487131948083
"260",20,13,1.53846153846154,7.96963174580388
"261",1,14,0.0714285714285714,67.2761121399029
"262",2,14,0.142857142857143,35.8805931412815
"263",3,14,0.214285714285714,25.4154201417411
"264",4,14,0.285714285714286,20.1828336419709
"265",5,14,0.357142857142857,17.0432817421087
"266",6,14,0.428571428571429,14.9502471422006
"267",7,14,0.5,13.4552224279806
"268",8,14,0.571428571428571,12.3339538923155
"269",9,14,0.642857142857143,11.4618561423538
"270",10,14,0.714285714285714,10.7641779423845
"271",11,14,0.785714285714286,10.1933503242277
"272",12,14,0.857142857142857,9.71766064243042
"273",13,14,0.928571428571429,9.31515398860194
"274",14,14,1,8.97014828532038
"275",15,14,1.07142857142857,8.67114334247637
"276",16,14,1.14285714285714,8.40951401748786
"277",17,14,1.21428571428571,8.17866461308623
"278",18,14,1.28571428571429,7.97346514250701
"279",19,14,1.35714285714286,7.78986561619928
"280",20,14,1.42857142857143,7.62462604252233
"281",1,15,0.0666666666666667,66.9771071970589
"282",2,15,0.133333333333333,35.5815881984375
"283",3,15,0.2,25.1164151988971
"284",4,15,0.266666666666667,19.8838286991268
"285",5,15,0.333333333333333,16.7442767992647
"286",6,15,0.4,14.6512421993566
"287",7,15,0.466666666666667,13.1562174851366
"288",8,15,0.533333333333333,12.0349489494715
"289",9,15,0.6,11.1628511995098
"290",10,15,0.666666666666667,10.4651729995404
"291",11,15,0.733333333333333,9.89434538138369
"292",12,15,0.8,9.4186556995864
"293",13,15,0.866666666666667,9.01614904575792
"294",14,15,0.933333333333333,8.67114334247637
"295",15,15,1,8.37213839963236
"296",16,15,1.06666666666667,8.11050907464385
"297",17,15,1.13333333333333,7.87965967024222
"298",18,15,1.2,7.67446019966299
"299",19,15,1.26666666666667,7.49086067335527
"300",20,15,1.33333333333333,7.32562109967831
"301",1,16,0.0625,66.7154778720704
"302",2,16,0.125,35.319958873449
"303",3,16,0.1875,24.8547858739086
"304",4,16,0.25,19.6221993741383
"305",5,16,0.3125,16.4826474742762
